Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Unknown duration (ms),Walking duration (ms),Running duration (ms),Meditating duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),REM sleeping duration (ms),Awake mid-sleeping duration (ms)
2018-01-01,1675.1752847997377,1395.6099925041199,,,,48.893001556396484,14.324519157409668,50.10005569458008,14.493630409240723,,,,2476,,,,,75095003,,2046454,,,,,,,
2018-01-02,1571.999944164759,,,,,50.089752197265625,14.3504638671875,50.09009552001953,14.350846290588379,1.8707333584626513,3.859999895095825,0.550000011920929,116,,,,,86400000,,,,,,,,,
2018-01-03,1756.2518643937447,2147.0185607373714,,,,50.079322814941406,14.344766616821289,50.09748077392578,14.420639038085938,5.56743608781821,11.449999809265137,0.5099999904632568,4145,,,,,80953406,,3366482,123911,,,,,,
2018-01-04,1791.6092185429554,2707.4283741116524,,,,50.07841110229492,14.35065746307373,50.10204315185547,14.450602531433105,3.3206109071213006,3.549999952316284,0.5199999809265137,3881,,,,,79768880,,2975186,499372,,,,,,
2018-01-05,1768.1358245641677,3048.8014607951045,,,,50.0775260925293,14.349532127380371,50.10253143310547,14.433311462402344,4.088075066023714,15.619999885559082,0.5,4600,,,,,76621494,,2966760,397209,,,,,,
2018-01-06,1700.990782620992,2516.646547317505,,,,50.08967590332031,14.350472450256348,50.101158142089844,14.450301170349121,1.559999942779541,1.559999942779541,1.559999942779541,3671,,,,,81186751,,2557186,,,,,,,
2018-01-07,1571.9999116202916,,,,,50.08985137939453,14.350677490234375,50.090030670166016,14.35085391998291,,,,62,,,,,86400000,,,,,,,,,
2018-01-08,1844.3467659041685,4740.807563351467,,,,50.04526138305664,14.287219047546387,50.125328063964844,14.50266170501709,1.5178416060176219,15.09000015258789,0.5199999809265137,6910,,,,,74421475,,4571342,280749,,,,,,
2018-01-09,1727.7453516334954,2896.818962454796,,,,50.08980941772461,14.349834442138672,50.12588119506836,14.5009765625,6.256376221233018,11.550000190734863,0.5600000023841858,4230,,,,,82038667,,2599444,201425,,,,,,
2018-01-10,1680.2598905770126,1434.620855331421,,,,50.07979965209961,14.350617408752441,50.09319305419922,14.42081356048584,,,,2623,,,,,84195754,,1927955,94341,,,,,,
2018-01-11,1676.5272143072589,1780.1130793094635,,,,50.079044342041016,14.350336074829102,50.090187072753906,14.42059326171875,0.907341753759361,2.2200000286102295,0.5099999904632568,2875,,,,,82823710,,1897056,75788,,,,,,
2018-01-12,1681.779560657124,1747.5016822814941,,,,50.07978820800781,14.350607872009277,50.09803009033203,14.421126365661621,,,,2729,,,,,81077423,,2177448,,,,,,,
2018-01-13,2023.024356877644,8845.337457239628,,,,50.08654022216797,14.321731567382812,50.12600326538086,14.498295783996582,1.7305610307060653,16.0,0.5,12824,,,,,72905607,,7745031,462663,,,,,,
2018-01-14,1711.0147751492655,1838.2230398058891,,,,50.012813568115234,14.350414276123047,50.09769821166992,14.41998291015625,0.8900000154972076,0.9900000095367432,0.7900000214576721,2743,,,,,80856730,,782724,823029,,,,,,
2018-01-15,1715.839684198297,2226.649113893509,,,,50.079124450683594,14.350279808044434,50.09516906738281,14.420650482177734,1.798112830809964,3.809999942779541,0.5199999809265137,4516,,,,,80580684,,2592719,111954,,,,,,
2018-01-16,1916.9036142502598,3644.7219678908587,,,,50.07953643798828,14.346467018127441,50.09029769897461,14.4210844039917,,,,6465,,,,,78245198,,5343835,635994,,,,,,
2018-01-17,1660.9058782726333,926.4194368402709,,,,50.08964538574219,14.349566459655762,50.09014129638672,14.352099418640137,,,,2206,,,,,83762928,,1482255,120929,,,720000,,,
2018-01-18,1858.2413119252142,5208.319230029836,,,,50.0794677734375,14.349862098693848,50.09746170043945,14.421219825744629,,,,7326,,,,,53867021,,4834367,368063,,,21000000,4200000,,
2018-01-19,1841.7519717548175,3683.0463408231735,,,,50.026546478271484,14.161120414733887,50.12544631958008,14.502115249633789,,,,5642,,,,,72633229,,4467073,363946,,,,,,
