Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation  [sfc]
2018;09;12;22;00;23.49;0.00
2018;09;12;23;00;22.72;0.00
2018;09;13;00;00;21.78;0.00
2018;09;13;01;00;20.34;0.00
2018;09;13;02;00;17.46;0.00
2018;09;13;03;00;19.41;0.00
2018;09;13;04;00;17.27;0.00
2018;09;13;05;00;16.11;0.00
2018;09;13;06;00;15.35;0.00
2018;09;13;07;00;14.95;0.00
2018;09;13;08;00;15.52;0.00
2018;09;13;09;00;17.62;0.00
2018;09;13;10;00;19.70;0.00
2018;09;13;11;00;21.71;0.00
2018;09;13;12;00;23.55;0.00
2018;09;13;13;00;25.15;0.00
2018;09;13;14;00;26.47;0.00
2018;09;13;15;00;27.15;0.00
2018;09;13;16;00;27.25;0.70
2018;09;13;17;00;26.49;1.00
2018;09;13;18;00;25.16;1.40
2018;09;13;19;00;23.07;1.00
2018;09;13;20;00;21.91;0.00
2018;09;13;21;00;20.79;0.00
2018;09;13;22;00;19.56;0.00
2018;09;13;23;00;18.15;1.10
